tree_id,species,latitude,longitude
120100, Swamp Myrtle,37.78558961,-122.4868639
239145, Ornamental Pear Tree 'Chanticleer',37.77179673,-122.42311979999998
202410, Brisbane Box,37.78838258,-122.39250359999998
22038, Brisbane Box,37.75340073,-122.38767079999998
93324, American Autumn Purple Ash,37.77931477,-122.4437504
68331, Blackwood Acacia,37.77874487,-122.4734554
113138, Olive Tree,37.75427133,-122.4778577
200332, Roundleaf sweetgum,37.77491091,-122.40324720000001
13332, Carob,37.72094108,-122.40269709999998
190736, Jacaranda,37.76777212,-122.40683759999999
21698, Laurel Fig,37.78639315,-122.4313973
95145, New Zealand Xmas Tree,37.78137546,-122.4596769
57164, Victorian Box,37.79116984,-122.44430190000001
214907, Swamp Myrtle,37.73113529999999,-122.4688466
10479, Brisbane Box,37.769751,-122.4494797
126869, Indian Laurel Fig Tree 'Green Gem',37.79081471,-122.44931570000001
207998, Glossy Privet,37.73229551,-122.4441371
230356, Little Gem Magnolia,37.73969841,-122.4264403
204003, Blackwood Acacia,37.73981349,-122.464396
233766, Olive Tree,37.76785227,-122.4322709
31815, Maidenhair Tree,37.769775700000004,-122.43511699999999
193450, Crab Apple,37.76229271,-122.4027274
175750, Lemon Bottlebrush,37.70922992,-122.43202020000001
136801, Small-leaf Tristania 'Elegant',37.78893725,-122.4439304
1562, Victorian Box,37.78004905,-122.45889939999999
102619, Laurel Fig,37.80473794,-122.4097963
237965, Catalina Cherry,37.75005094,-122.4404679
102263, Sweet Bay: Grecian Laurel,37.78915741,-122.43734640000001
215381, Princess Flower,37.71828593,-122.4609311
63002, Southern Magnolia,37.76335092,-122.5019086
183278, Australian Tea Tree,37.76316568,-122.5018945
132378, Tarata,37.79352441,-122.41556000000001
13911, Sycamore: London Plane,37.78097423,-122.4116357
205636, Birch,37.76291746,-122.4543034
129971, Brisbane Box,37.78486671,-122.41119540000001
7073,Unknown,37.77315247,-122.44526429999999
237489, Cherry Plum,37.75350724,-122.43215829999998
220966, Lemon Bottlebrush,37.74960846,-122.42128290000001
256115, Hybrid Strawberry Tree,37.73711377,-122.41527420000001
8671, Swamp Myrtle,37.78220247,-122.45049309999999
249765, Dracena Palm,37.80366337,-122.40615259999998
125248, Blackwood Acacia,37.7967704,-122.41483909999998
246559, Lombardy Poplar,37.77225887,-122.4236017
130799, Southern Magnolia,37.79334342,-122.43634240000002
214981, Swamp Myrtle,37.74205447,-122.45334840000001
15067, Mexican Fan Palm,37.71577905,-122.455694
222826, Silk floss,37.74823042,-122.41456799999999
222764, Deodar Cedar,37.76169853,-122.44258130000001
177954, Olive Tree,37.71692788,-122.4785584
16032, Silver Dollar Eucalyptus,37.73289796,-122.4654148
56411, Indian Laurel Fig Tree 'Green Gem',37.78564138,-122.47753329999999
225353, Indian Laurel Fig Tree 'Green Gem',37.77194267,-122.4199675
72939, Indian Laurel Fig Tree 'Green Gem',37.78893169,-122.44578100000001
241653, Swamp Myrtle,37.76407346,-122.42270890000002
191477, Glossy Privet,37.78166945,-122.39349969999999
223451, Bronze Loquat,37.76312175,-122.4497318
86439, Ornamental Cherry,37.73986094,-122.4839842
235870, Cherry Plum,37.76124092,-122.4089886
126903, Indian Laurel Fig Tree 'Green Gem',37.79018763,-122.4474717
26766, Brisbane Box,37.78926544,-122.422703
207171, New Zealand Tea Tree,37.73460544,-122.44504769999999
188262, Lemon Bottlebrush,37.73400042,-122.38248929999999
86159, Hybrid Strawberry Tree,37.7644623,-122.48262849999999
100547, India Hawthorn,37.7583051,-122.44373519999999
193602, Cajeput,37.75194962,-122.39958940000001
183038, Olive Tree,37.73997035,-122.4777017
192141, Indian Laurel Fig Tree 'Green Gem',37.77859678,-122.41058590000002
141185, New Zealand Xmas Tree,37.78268237,-122.43683429999999
184360, Myoporum,37.75981326,-122.50940259999999
202002, Sycamore: London Plane,37.72303938,-122.3981014
220483, Red Maple,37.75239545,-122.4146973
37189, Victorian Box,37.75957389,-122.488576
123284, Red Ironbark,37.78015199,-122.46414579999998
224156, River Red Gum,37.73844488,-122.4243084
133580, Sycamore: London Plane,37.791052,-122.451467
205353, Dracena Palm,37.74006632,-122.46853390000001
217857, Cherry Plum,37.76346939,-122.4542067
212485, Cherry Plum,37.74785568,-122.46253850000001
209652, Mayten,37.75653473,-122.46869509999999
70682, Jacaranda,37.76420603,-122.40649760000001
222948, Red Flowering Gum,37.77007285,-122.43091940000001
122872, Small-leaf Tristania 'Elegant',37.71305472,-122.4505247
226320, Jacaranda,37.75231593,-122.4108646
120030, Victorian Box,37.77248638,-122.48829669999999
244289, Ornamental Pear,37.77404386,-122.42419380000001
72442, Indian Laurel Fig Tree 'Green Gem',37.78959419,-122.4102896
9218, Lemon Bottlebrush,37.78000136,-122.4872622
113643, Brisbane Box,37.77527096,-122.41598379999999
250424, New Zealand Xmas Tree,37.78895714,-122.4859748
193155, Southern Magnolia,37.78696711,-122.39587140000002
242652, Chinese Elm,37.7557398,-122.414754
227553, Primrose Tree,37.76057274,-122.43917320000001
184374, Karo Tree,37.74391061,-122.5036118
5026, New Zealand Xmas Tree,37.74277322,-122.43667099999999
225318, Indian Laurel Fig Tree 'Green Gem',37.76973265,-122.4300587
226781, Jacaranda,37.76165652,-122.43072849999999
222922, Carob,37.76556263,-122.44764340000002
184542, New Zealand Xmas Tree,37.75497106,-122.49917179999998
193286, Southern Magnolia,37.7323563,-122.3801837
22459, Olive Tree,37.72346338,-122.3953133
138667, Southern Magnolia,37.7868166,-122.4453794
185187, Karo Tree,37.73946963,-122.49399960000001
227167, Glossy Privet,37.76394686,-122.4497993
242612, Chinese Elm,37.74294053,-122.41835790000002
118180, Olive Tree,37.77550903,-122.4930785
24492, Brisbane Box,37.77560902,-122.42498880000001
177596, New Zealand Xmas Tree,37.71136852,-122.4526619
38, Jacaranda,37.7675715,-122.430574
240246, Coast Live Oak,37.73792957,-122.42154690000001
234164, Victorian Box,37.74422314,-122.4104706
45763, American Sweet Gum,37.78861457,-122.45831240000001
212276, Red Flowering Gum,37.72470567,-122.47199440000001
119551, New Zealand Xmas Tree,37.77738951,-122.4899942
131545, New Zealand Xmas Tree,37.79324076,-122.4147408
139493, Karo Tree,37.77699085,-122.4380972
101142, Jacaranda,37.76069613,-122.3974226
49525, Brisbane Box,37.76969642,-122.4087483
221512, Shoestring Acacia,37.749276,-122.42261840000002
11197, Pine Spp,37.74439283,-122.458628
110517, Maidenhair Tree,37.76739688,-122.42113390000002
183257, Ornamental Cherry,37.7613744,-122.507144
197041, Ornamental Pear Tree 'Redspire',37.72780829,-122.39519170000001
197895, Eugenia,37.74118993,-122.4017223
214107, Indian Hawthorn  'Majestic Beau',37.72123369,-122.4627355
141986, Red Maple,37.77886577,-122.42938149999999
128731, Indian Laurel Fig Tree 'Green Gem',37.79710577,-122.40485190000001
232014, Flaxleaf Paperbark,37.74029389,-122.4164662
187082, Peppermint Willow,37.73709307,-122.4937088
227933, Roundleaf sweetgum,37.76004291,-122.4392186
40189, Bailey's Acacia,37.72969602,-122.4112413
111250, New Zealand Xmas Tree,37.73810025,-122.5004466
16946, Laurel Fig,37.77390276,-122.42950320000001
103530, Heath Melaleuca,37.78556231,-122.46684590000001
193708, Cajeput,37.76984949,-122.39599840000001
17927, Chinese Elm,37.78768356,-122.43519909999999
178719, Cherry Plum,37.72024975,-122.42612209999999
235659, Cherry Plum,37.76876129,-122.4226108
101320, Indian Laurel Fig Tree 'Green Gem',37.76931504,-122.43150590000002
201766, Italian Stone Pine,37.71271226,-122.3877442
187474, Swamp Myrtle,37.72815278,-122.431747
135590, Sycamore: London Plane,37.79493038,-122.39666000000001
175507, Hybrid Strawberry Tree,37.72939087,-122.42109579999999
13795, Sycamore: London Plane,37.78339759,-122.4085601
30362, Victorian Box,37.75852471,-122.39818970000002
125114, Blackwood Acacia,37.79095197,-122.44703319999999
238559, Flowering Plum,37.74687813,-122.42836070000001
51482, Golden Rain Tree,37.77475199,-122.3945481
134345, Sycamore: London Plane,37.7817173,-122.4110952
253547, Olive Tree,37.72207681,-122.43983689999999
52707, Yoshino Cherry,37.7898597,-122.45755120000001
83366, Little Gem Magnolia,37.71820238,-122.43112009999999
43761, American Sweet Gum,37.78122955,-122.4761315
198154, Swamp Myrtle,37.7801782,-122.3964804
248355, Olive Tree,37.76888805,-122.44775
25779, Hybrid Strawberry Tree,37.7111607,-122.426399
23622, Sycamore: London Plane,37.73976858,-122.4672855
225034, Indian Laurel Fig Tree 'Green Gem',37.76052423,-122.438405
16389, Indian Laurel Fig Tree 'Green Gem',37.7851454,-122.42210530000001
10545, Brisbane Box,37.732451,-122.37850790000002
51059, Southern Magnolia,37.73679169,-122.39269329999999
218820, Chinese Banyan,37.71980078,-122.47173500000001
45648, Cherry Plum,37.7261072,-122.42715530000001
135285, Sycamore: London Plane,37.80054971,-122.3990875
117714, Lemon Bottlebrush,37.77974255,-122.5019824
142555, Lemon Bottlebrush,37.80436797,-122.416499
92462, Hybrid Strawberry Tree,37.75686541,-122.4999649
99044, Columbia Hybrid Plane Tree,37.76551448,-122.4217624
230426, Magnolia,37.7452316,-122.41623999999999
192961, Southern Magnolia,37.76609755,-122.3967785
126321, Red Flowering Gum,37.79354772,-122.3980122
23044, New Zealand Xmas Tree,37.75668817,-122.42125890000001
124958, Blackwood Acacia,37.78880889,-122.4554966
119272, Strawberry Tree,37.79356851,-122.41119979999999
190357, Indian Laurel Fig Tree 'Green Gem',37.78313486,-122.39339050000001
220169, Blackwood Acacia,37.73696787,-122.4253539
42162, Olive Tree,37.77484119,-122.4737999
10265, Sweet Shade,37.7727718,-122.42576389999999
247507, Red Maple,37.77342072,-122.4374693
135043, Sycamore: London Plane,37.79852701,-122.4020756
15357, Mexican Fan Palm,37.76618096,-122.4198632
100530, Indian Laurel Fig Tree 'Green Gem',37.79565809,-122.4131987
124205, Cajeput,37.777721899999996,-122.45614640000001
238725, Sycamore: London Plane,37.73801158,-122.4220442
117963, Hybrid Strawberry Tree,37.77753646,-122.4965871
232455, Olive Tree,37.76162246,-122.42181740000001
220698, Guadalupe Palm,37.74823871,-122.4142396
15397, Mexican Fan Palm,37.76465453,-122.4195334
219286, Juniper,37.73145382,-122.43778329999999
247158, Olive Tree,37.76257915,-122.43470759999998
130899, Southern Magnolia,37.79128057,-122.4106222
221299, Guadalupe Palm,37.74885365,-122.40648759999999
209685, Mayten,37.75319307,-122.4721211
175497, Hybrid Strawberry Tree,37.72287811,-122.41188149999999
